state,party,last_name,user_screen_name,name,gender,state_abbrev,icpsr,born
Alabama,D,SEWELL,RepTerriSewell,Terri A. Sewell,female,AL,21102,1965
Alabama,R,ADERHOLT,Robert_Aderholt,Robert B. Aderholt,male,AL,29701,1965
Alabama,R,BROOKS,RepMoBrooks,Mo Brooks,male,AL,21193,1954
Alabama,R,BYRNE,RepByrne,Bradley Byrne,male,AL,21376,1955
Alabama,R,PALMER,USRepGaryPalmer,Gary J. Palmer,male,AL,21500,1954
Alabama,R,ROBY,MarthaRobyAL,Martha Roby,female,AL,21192,1976
Alabama,R,ROGERS,RepMikeRogersAL,Mike Rogers,male,AL,20301,1958
Alaska,R,YOUNG,repdonyoung,Don Young,male,AK,14066,1933
Arizona,D,GALLEGO,RepRubenGallego,Ruben Gallego,male,AZ,21502,1979
Arizona,D,GRIJALVA,RepRaulGrijalva,Raul M. Grijalva,male,AZ,20305,1948
Arizona,D,O'HALLERAN,RepOHalleran,Tom O'Halleran,male,AZ,21739,1946
Arizona,D,SINEMA,SenatorSinema,Kyrsten Sinema,female,AZ,21300,1976
Arizona,R,BIGGS,RepAndyBiggsAZ,Andy Biggs,male,AZ,21705,1958
Arizona,R,GOSAR,RepGosar,Paul A. Gosar,male,AZ,21103,1958
Arizona,R,MCSALLY,MarthaMcSally,Martha McSally,female,AZ,21501,1966
Arizona,R,SCHWEIKERT,RepDavid,David Schweikert,male,AZ,21105,1962
Arkansas,R,CRAWFORD,RepRickCrawford,"Eric A. ""Rick"" Crawford",male,AR,21106,1966
Arkansas,R,HILL,RepFrenchHill,J. French Hill,male,AR,21503,1956
Arkansas,R,WESTERMAN,RepWesterman,Bruce Westerman,male,AR,21563,1967
Arkansas,R,WOMACK,rep_stevewomack,Steve Womack,male,AR,21108,1957
California,D,AGUILAR,RepPeteAguilar,Pete Aguilar,male,CA,21506,1979
California,D,BARRAGAN,RepBarragan,Nanette Diaz Barragan,female,CA,21703,1976
California,D,BASS,RepKarenBass,Karen Bass,female,CA,21110,1953
California,D,BERA,RepBera,Ami Bera,male,CA,21304,1965
California,D,BROWNLEY,RepBrownley,Julia Brownley,female,CA,21308,1952
California,D,CARBAJAL,RepCarbajal,Salud O. Carbajal,male,CA,21709,1964
California,D,CARDENAS,RepCardenas,Tony Cardenas,male,CA,21309,1963
California,D,CHU,RepJudyChu,Judy Chu,female,CA,20955,1953
California,D,CORREA,RepLouCorrea,J. Luis Correa,male,CA,21711,1958
California,D,COSTA,RepJimCosta,Jim Costa,male,CA,20501,1952
California,D,DESAULNIER,RepDeSaulnier,Mark DeSaulnier,male,CA,21504,1952
California,D,ESHOO,RepAnnaEshoo,Anna G. Eshoo,female,CA,29312,1942
California,D,GARAMENDI,RepGaramendi,John Garamendi,male,CA,20958,1945
California,D,GOMEZ,JimmyGomezCA,Jimmy Gomez,male,CA,21754,1974
California,D,HUFFMAN,RepHuffman,Jared Huffman,male,CA,21303,1964
California,D,KHANNA,RepRoKhanna,Ro Khanna,male,CA,21728,1976
California,D,LEE,RepBarbaraLee,Barbara Lee,female,CA,29778,1946
California,D,LIEU,RepTedLieu,Ted Lieu,male,CA,21507,1969
California,D,LOFGREN,RepZoeLofgren,Zoe Lofgren,female,CA,29504,1947
California,D,LOWENTHAL,RepLowenthal,Alan S. Lowenthal,male,CA,21313,1941
California,D,MATSUI,DorisMatsui,Doris O. Matsui,female,CA,20538,1944
California,D,MCNERNEY,RepMcNerney,Jerry McNerney,male,CA,20702,1951
California,D,NAPOLITANO,gracenapolitano,Grace F. Napolitano,female,CA,29903,1936
California,D,PANETTA,RepJimmyPanetta,Jimmy Panetta,male,CA,21740,1969
California,D,PELOSI,SpeakerPelosi,Nancy Pelosi,female,CA,15448,1940
California,D,PETERS,RepScottPeters,Scott H. Peters,male,CA,21315,1958
California,D,ROYBAL-ALLARD,RepRoybalAllard,Lucille Roybal-Allard,female,CA,29317,1941
California,D,RUIZ,RepRaulRuizMD,Raul Ruiz,male,CA,21311,1972
California,D,SANCHEZ,RepLindaSanchez,Linda T. Sanchez,female,CA,20310,1969
California,D,SCHIFF,RepAdamSchiff,Adam B. Schiff,male,CA,20104,1960
California,D,SHERMAN,BradSherman,Brad Sherman,male,CA,29707,1954
California,D,SPEIER,RepSpeier,Jackie Speier,female,CA,20762,1950
California,D,SWALWELL,RepSwalwell,Eric Swalwell,male,CA,21306,1980
California,D,TAKANO,RepMarkTakano,Mark Takano,male,CA,21312,1960
California,D,THOMPSON,RepThompson,Mike Thompson,male,CA,29901,1951
California,D,TORRES,NormaJTorres,Norma J. Torres,female,CA,21508,1965
California,D,VARGAS,RepJuanVargas,Juan Vargas,male,CA,21314,1961
California,D,WATERS,RepMaxineWaters,Maxine Waters,female,CA,29106,1938
California,R,CALVERT,KenCalvert,Ken Calvert,male,CA,29323,1953
California,R,COOK,ColPaulCookRet,Paul Cook,male,CA,21305,1943
California,R,ISSA,DarrellIssa,Darrell E. Issa,male,CA,20107,1953
California,R,KNIGHT,SteveKnight25,Stephen Knight,male,CA,21505,1966
California,R,LAMALFA,RepLaMalfa,Doug LaMalfa,male,CA,21302,1960
California,R,MCCARTHY,GOPLeader,Kevin McCarthy,male,CA,20703,1965
California,R,MCCLINTOCK,RepMcClintock,Tom McClintock,male,CA,20903,1956
California,R,ROHRABACHER,DanaRohrabacher,Dana Rohrabacher,male,CA,15621,1947
California,R,ROYCE,RepEdRoyce,Edward R. Royce,male,CA,29321,1951
California,R,VALADAO,RepDavidValadao,David G. Valadao,male,CA,21307,1977
Colorado,D,DEGETTE,RepDianaDeGette,Diana DeGette,female,CO,29710,1957
Colorado,D,PERLMUTTER,RepPerlmutter,Ed Perlmutter,male,CO,20705,1953
Colorado,D,POLIS,RepJaredPolis,Jared Polis,male,CO,20904,1975
Colorado,R,BUCK,RepKenBuck,Ken Buck,male,CO,21510,1959
Colorado,R,COFFMAN,RepMikeCoffman,Mike Coffman,male,CO,20906,1955
Colorado,R,LAMBORN,RepDLamborn,Doug Lamborn,male,CO,20704,1954
Colorado,R,TIPTON,RepTipton,Scott R. Tipton,male,CO,21111,1956
Connecticut,D,COURTNEY,RepJoeCourtney,Joe Courtney,male,CT,20706,1953
Connecticut,D,DELAURO,rosadelauro,Rosa L. DeLauro,female,CT,29109,1943
Connecticut,D,ESTY,Elizabeth_Esty,Elizabeth H. Esty,female,CT,21316,1959
Connecticut,D,HIMES,jahimes,James A. Himes,male,CT,20907,1966
Connecticut,D,LARSON,RepJohnLarson,John B. Larson,male,CT,29908,1948
Delaware,D,ROCHESTER,RepLBR,Lisa Blunt Rochester,female,DE,21706,1962
Florida,D,CASTOR,USRepKCastor,Kathy Castor,female,FL,20708,1966
Florida,D,CRIST,RepCharlieCrist,Charlie Crist,male,FL,21712,1956
Florida,D,DEMINGS,RepValDemings,Val Butler Demings,female,FL,21713,1957
Florida,D,DEUTCH,RepTedDeutch,Theodore E. Deutch,male,FL,20959,1966
Florida,D,FRANKEL,RepLoisFrankel,Lois Frankel,female,FL,21321,1948
Florida,D,LAWSON,RepAlLawsonJr,"Al Lawson, Jr.",male,FL,21732,1948
Florida,D,MURPHY,RepStephMurphy,Stephanie N. Murphy,female,FL,21738,1978
Florida,D,SCHULTZ,RepDWStweets,Debbie Wasserman Schultz,female,FL,20504,1966
Florida,D,SOTO,RepDarrenSoto,Darren Soto,male,FL,21746,1978
Florida,D,WILSON,RepWilson,Frederica S. Wilson,female,FL,21118,1942
Florida,R,BILIRAKIS,RepGusBilirakis,Gus M. Bilirakis,male,FL,20758,1963
Florida,R,BUCHANAN,VernBuchanan,Vern Buchanan,male,FL,20709,1951
Florida,R,CURBELO,carloslcurbelo,Carlos Curbelo,male,FL,21512,1980
Florida,R,DESANTIS,GovRonDeSantis,Ron DeSantis,male,FL,21318,1978
Florida,R,DIAZ-BALART,MarioDB,Mario Diaz-Balart,male,FL,20316,1961
Florida,R,DUNN,DrNealDunnFL2,Neal P. Dunn,male,FL,21714,1953
Florida,R,GAETZ,RepMattGaetz,Matt Gaetz,male,FL,21719,1982
Florida,R,MAST,RepBrianMast,Brian J. Mast,male,FL,21735,1980
Florida,R,ROONEY,TomRooney,Thomas J. Rooney,male,FL,20910,1970
Florida,R,ROONEY_L,RepRooney,Francis Rooney,male,FL,21742,1953
Florida,R,ROS-LEHTINEN,RosLehtinen,Ileana Ros-Lehtinen,female,FL,15634,1952
Florida,R,ROSS,DennisRossSEU,Dennis A. Ross,male,FL,21117,1959
Florida,R,RUTHERFORD,RepRutherfordFL,John H. Rutherford,male,FL,21744,1952
Florida,R,WEBSTER,RepWebster,Daniel Webster,male,FL,21116,1949
Florida,R,YOHO,RepTedYoho,Ted S. Yoho,male,FL,21317,1955
Georgia,D,BISHOP,SanfordBishop,"Sanford D. Bishop, Jr.",male,GA,29339,1947
Georgia,D,JOHNSON,RepHankJohnson,"Henry C. ""Hank"" Johnson, Jr.",male,GA,20712,1954
Georgia,D,LEWIS,repjohnlewis,John Lewis,male,GA,15431,1940
Georgia,D,SCOTT,repdavidscott,David Scott,male,GA,20321,1945
Georgia,R,ALLEN,RepRickAllen,Rick W. Allen,male,GA,21516,1951
Georgia,R,CARTER,RepBuddyCarter,"Earl L. ""Buddy"" Carter",male,GA,21513,1957
Georgia,R,COLLINS,RepDougCollins,Doug Collins,male,GA,21323,1966
Georgia,R,FERGUSON,RepDrewFerguson,A. Drew Ferguson IV,male,GA,21717,1966
Georgia,R,GRAVES,RepTomGraves,Tom Graves,male,GA,20962,1970
Georgia,R,HICE,CongressmanHice,Jody B. Hice,male,GA,21514,1960
Georgia,R,LOUDERMILK,RepLoudermilk,Barry Loudermilk,male,GA,21515,1963
Georgia,R,SCOTT,AustinScottGA08,Austin Scott,male,GA,21123,1969
Georgia,R,WOODALL,RepRobWoodall,Rob Woodall,male,GA,21122,1970
Hawaii,D,GABBARD,TulsiPress,Tulsi Gabbard,female,HI,21324,1981
